rifiuto,X_r,algoritmo,is_best,n_vehicles,F_total,F_insoddis,F_costo_fisso,F_viaggio,F_lavoro,algo_time_sec
organico,0.5,greedy,0,111,173500.9604,163927.5,6660.0,443.3802,2470.0802,78.70779
organico,1.0,greedy,0,57,141083.8682,128927.5,6840.0,698.662,4617.7062,78.70779
organico,1.5,greedy,0,41,109036.5455,93927.5,7380.0,957.5431,6771.5024,78.70779
organico,2.0,greedy,0,38,83354.5292,64081.5,9120.0,1220.5897,8932.4395,78.70779
organico,2.5,greedy,0,38,63468.6913,39389.5,11400.0,1521.281,11157.9103,78.70779
organico,3.0,greedy,0,38,62084.5296,33189.5,13680.0,1825.5372,13389.4923,78.70779
organico,3.5,greedy,1,38,60700.3678,26989.5,15960.0,2129.7934,15621.0744,78.70779
organico,4.0,greedy,0,38,63681.2061,25154.5,18240.0,2434.0496,17852.6565,78.70779
organico,4.5,greedy,0,38,71027.0444,27684.5,20520.0,2738.3058,20084.2385,78.70779
organico,5.0,greedy,0,38,78372.8826,30214.5,22800.0,3042.562,22315.8206,78.70779
organico,5.5,greedy,0,38,90188.7209,37214.5,25080.0,3346.8182,24547.4026,78.70779
organico,6.0,greedy,0,38,102004.5591,44214.5,27360.0,3651.0744,26778.9847,78.70779
carta,0.5,greedy,0,74,49979.3285,44571.0,2960.0,377.0158,2071.3127,78.70779
carta,1.0,greedy,0,38,23345.0817,15755.8,3040.0,626.0511,3923.2306,78.70779
carta,1.5,greedy,1,33,20182.0882,9555.8,3960.0,881.0007,5785.2875,78.70779
carta,2.0,greedy,0,33,26254.4451,12085.8,5280.0,1174.7637,7713.8814,78.70779
carta,2.5,greedy,0,33,36796.6064,19085.8,6600.0,1468.4547,9642.3518,78.70779
carta,3.0,greedy,0,33,47338.7677,26085.8,7920.0,1762.1456,11570.8221,78.70779
carta,3.5,greedy,0,33,57880.929,33085.8,9240.0,2055.8365,13499.2925,78.70779
carta,4.0,greedy,0,33,68423.0903,40085.8,10560.0,2349.5274,15427.7628,78.70779
carta,4.5,greedy,0,33,78965.2516,47085.8,11880.0,2643.2184,17356.2332,78.70779
carta,5.0,greedy,0,33,89507.4129,54085.8,13200.0,2936.9093,19284.7036,78.70779
carta,5.5,greedy,0,33,100049.5741,61085.8,14520.0,3230.6002,21213.1739,78.70779
carta,6.0,greedy,0,33,110591.7354,68085.8,15840.0,3524.2912,23141.6443,78.70779
plastica,0.5,greedy,0,94,106096.612,100270.7,3290.0,409.2834,2126.6287,78.70779
plastica,1.0,greedy,0,47,73163.5238,65270.7,3290.0,645.7772,3957.0467,78.70779
plastica,1.5,greedy,0,34,46938.5818,36661.66,3570.0,895.9711,5810.9507,78.70779
plastica,2.0,greedy,0,33,36573.5051,23064.86,4620.0,1174.7637,7713.8814,78.70779
plastica,2.5,greedy,1,33,33750.6664,16864.86,5775.0,1468.4547,9642.3518,78.70779
plastica,3.0,greedy,0,33,38784.8277,18521.86,6930.0,1762.1456,11570.8221,78.70779
plastica,3.5,greedy,0,33,45585.989,21945.86,8085.0,2055.8365,13499.2925,78.70779
plastica,4.0,greedy,0,33,55963.1503,28945.86,9240.0,2349.5274,15427.7628,78.70779
plastica,4.5,greedy,0,33,66340.3116,35945.86,10395.0,2643.2184,17356.2332,78.70779
plastica,5.0,greedy,0,33,76717.4729,42945.86,11550.0,2936.9093,19284.7036,78.70779
plastica,5.5,greedy,0,33,87094.6341,49945.86,12705.0,3230.6002,21213.1739,78.70779
plastica,6.0,greedy,0,33,97471.7954,56945.86,13860.0,3524.2912,23141.6443,78.70779
vetro,0.5,greedy,1,46,13416.1325,7877.9,2530.0,320.7962,2687.4363,78.70779
vetro,1.0,greedy,0,45,16980.0916,6042.9,4950.0,630.8075,5356.3842,78.70779
vetro,1.5,greedy,0,45,29448.6875,13042.9,7425.0,946.2112,8034.5763,78.70779
vetro,2.0,greedy,0,45,41917.2833,20042.9,9900.0,1261.6149,10712.7684,78.70779
vetro,2.5,greedy,0,45,54385.8791,27042.9,12375.0,1577.0187,13390.9605,78.70779
vetro,3.0,greedy,0,45,66854.4749,34042.9,14850.0,1892.4224,16069.1526,78.70779
vetro,3.5,greedy,0,45,79323.0708,41042.9,17325.0,2207.8261,18747.3447,78.70779
vetro,4.0,greedy,0,45,91791.6666,48042.9,19800.0,2523.2298,21425.5367,78.70779
vetro,4.5,greedy,0,45,104260.2624,55042.9,22275.0,2838.6336,24103.7288,78.70779
vetro,5.0,greedy,0,45,116728.8582,62042.9,24750.0,3154.0373,26781.9209,78.70779
vetro,5.5,greedy,0,45,129197.4541,69042.9,27225.0,3469.441,29460.113,78.70779
vetro,6.0,greedy,0,45,141666.0499,76042.9,29700.0,3784.8448,32138.3051,78.70779
indifferenziata,0.5,greedy,0,70,130018.7538,124142.0,3150.0,374.5935,2352.1603,78.70779
indifferenziata,1.0,greedy,0,40,97842.3452,89142.0,3600.0,619.0744,4481.2707,78.70779
indifferenziata,1.5,greedy,0,38,68941.1148,56203.6,5130.0,912.7686,6694.7462,78.70779
indifferenziata,2.0,greedy,0,38,48494.953,31511.6,6840.0,1217.0248,8926.3282,78.70779
indifferenziata,2.5,greedy,0,38,46540.7913,25311.6,8550.0,1521.281,11157.9103,78.70779
indifferenziata,3.0,greedy,1,38,44586.6296,19111.6,10260.0,1825.5372,13389.4923,78.70779
indifferenziata,3.5,greedy,0,38,51362.4678,21641.6,11970.0,2129.7934,15621.0744,78.70779
indifferenziata,4.0,greedy,0,38,58138.3061,24171.6,13680.0,2434.0496,17852.6565,78.70779
indifferenziata,4.5,greedy,0,38,69384.1444,31171.6,15390.0,2738.3058,20084.2385,78.70779
indifferenziata,5.0,greedy,0,38,80629.9826,38171.6,17100.0,3042.562,22315.8206,78.70779
indifferenziata,5.5,greedy,0,38,91875.8209,45171.6,18810.0,3346.8182,24547.4026,78.70779
indifferenziata,6.0,greedy,0,38,103121.6591,52171.6,20520.0,3651.0744,26778.9847,78.70779
organico,0.5,clarke_wright,0,111,173046.0593,163927.5,6660.0,275.785,2182.7743,501.189044
organico,1.0,clarke_wright,0,56,140115.5279,128927.5,6720.0,386.1155,4081.9124,501.189044
organico,1.5,clarke_wright,0,39,107452.0222,93927.5,7020.0,506.4029,5998.1193,501.189044
organico,2.0,clarke_wright,0,34,80859.8051,64081.5,8160.0,655.165,7963.1401,501.189044
organico,2.5,clarke_wright,0,34,60362.3814,39389.5,10200.0,818.9563,9953.9251,501.189044
organico,3.0,clarke_wright,0,34,58356.9577,33189.5,12240.0,982.7475,11944.7101,501.189044
organico,3.5,clarke_wright,1,34,56351.534,26989.5,14280.0,1146.5388,13935.4952,501.189044
organico,4.0,clarke_wright,0,34,58711.1102,25154.5,16320.0,1310.33,15926.2802,501.189044
organico,4.5,clarke_wright,0,34,65435.6865,27684.5,18360.0,1474.1213,17917.0652,501.189044
organico,5.0,clarke_wright,0,34,72160.2628,30214.5,20400.0,1637.9125,19907.8502,501.189044
organico,5.5,clarke_wright,0,34,83354.8391,37214.5,22440.0,1801.7038,21898.6353,501.189044
organico,6.0,clarke_wright,0,34,94549.4153,44214.5,24480.0,1965.4951,23889.4203,501.189044
carta,0.5,clarke_wright,0,74,49556.0318,44571.0,2960.0,221.0644,1803.9675,501.189044
carta,1.0,clarke_wright,0,37,22473.6482,15755.8,2960.0,334.4704,3423.3778,501.189044
carta,1.5,clarke_wright,1,29,18582.4684,9555.8,3480.0,468.5094,5078.159,501.189044
carta,2.0,clarke_wright,0,29,24121.3579,12085.8,4640.0,624.6792,6770.8787,501.189044
carta,2.5,clarke_wright,0,29,34130.2474,19085.8,5800.0,780.849,8463.5983,501.189044
carta,3.0,clarke_wright,0,29,44139.1368,26085.8,6960.0,937.0188,10156.318,501.189044
carta,3.5,clarke_wright,0,29,54148.0263,33085.8,8120.0,1093.1886,11849.0377,501.189044
carta,4.0,clarke_wright,0,29,64156.9158,40085.8,9280.0,1249.3584,13541.7573,501.189044
carta,4.5,clarke_wright,0,29,74165.8052,47085.8,10440.0,1405.5283,15234.477,501.189044
carta,5.0,clarke_wright,0,29,84174.6947,54085.8,11600.0,1561.6981,16927.1967,501.189044
carta,5.5,clarke_wright,0,29,94183.5842,61085.8,12760.0,1717.8679,18619.9163,501.189044
carta,6.0,clarke_wright,0,29,104192.4737,68085.8,13920.0,1874.0377,20312.636,501.189044
plastica,0.5,clarke_wright,0,95,105703.56,100270.7,3325.0,251.58,1856.28,501.189044
plastica,1.0,clarke_wright,0,48,72463.3599,65270.7,3360.0,362.0326,3470.6273,501.189044
plastica,1.5,clarke_wright,0,34,45799.7925,36661.66,3570.0,476.4172,5091.7152,501.189044
plastica,2.0,clarke_wright,0,29,34520.4179,23064.86,4060.0,624.6792,6770.8787,501.189044
plastica,2.5,clarke_wright,1,29,31184.3074,16864.86,5075.0,780.849,8463.5983,501.189044
plastica,3.0,clarke_wright,0,29,35705.1968,18521.86,6090.0,937.0188,10156.318,501.189044
plastica,3.5,clarke_wright,0,29,41993.0863,21945.86,7105.0,1093.1886,11849.0377,501.189044
plastica,4.0,clarke_wright,0,29,51856.9758,28945.86,8120.0,1249.3584,13541.7573,501.189044
plastica,4.5,clarke_wright,0,29,61720.8652,35945.86,9135.0,1405.5283,15234.477,501.189044
plastica,5.0,clarke_wright,0,29,71584.7547,42945.86,10150.0,1561.6981,16927.1967,501.189044
plastica,5.5,clarke_wright,0,29,81448.6442,49945.86,11165.0,1717.8679,18619.9163,501.189044
plastica,6.0,clarke_wright,0,29,91312.5337,56945.86,12180.0,1874.0377,20312.636,501.189044
vetro,0.5,clarke_wright,1,41,12739.8244,7877.9,2255.0,172.9458,2433.9786,501.189044
vetro,1.0,clarke_wright,0,41,15766.7488,6042.9,4510.0,345.8917,4867.9572,501.189044
vetro,1.5,clarke_wright,0,41,27628.6733,13042.9,6765.0,518.8375,7301.9357,501.189044
