rifiuto,X_r,is_best,n_vehicles,F_total,F_insoddis,F_costo_fisso,F_viaggio,F_lavoro,greedy_time_sec
organico,0.5,0,2,2937.2167,2731.0,120.0,23.143,63.0737,0.277625
organico,1.0,0,1,2513.6052,2231.0,120.0,42.6651,119.9401,0.277625
organico,1.5,0,1,2154.9078,1731.0,180.0,63.9976,179.9102,0.277625
organico,2.0,0,1,1796.2104,1231.0,240.0,85.3301,239.8802,0.277625
organico,2.5,0,1,1610.313,903.8,300.0,106.6627,299.8503,0.277625
organico,3.0,1,1,1467.6156,619.8,360.0,127.9952,359.8204,0.277625
organico,3.5,0,1,1540.9182,551.8,420.0,149.3278,419.7904,0.277625
organico,4.0,0,1,1614.2208,483.8,480.0,170.6603,479.7605,0.277625
organico,4.5,0,1,1687.5234,415.8,540.0,191.9928,539.7306,0.277625
organico,5.0,0,1,1874.826,461.8,600.0,213.3254,599.7006,0.277625
organico,5.5,0,1,2062.1286,507.8,660.0,234.6579,659.6707,0.277625
organico,6.0,0,1,2249.4312,553.8,720.0,255.9904,719.6407,0.277625
carta,0.5,0,1,694.5639,577.0,40.0,21.392,56.1719,0.277625
carta,1.0,1,1,441.7278,206.6,80.0,42.7839,112.3438,0.277625
carta,1.5,0,1,491.2916,138.6,120.0,64.1759,168.5158,0.277625
carta,2.0,0,1,654.8555,184.6,160.0,85.5678,224.6877,0.277625
carta,2.5,0,1,872.4194,284.6,200.0,106.9598,280.8596,0.277625
carta,3.0,0,1,1089.9833,384.6,240.0,128.3517,337.0315,0.277625
carta,3.5,0,1,1307.5472,484.6,280.0,149.7437,393.2035,0.277625
carta,4.0,0,1,1525.111,584.6,320.0,171.1356,449.3754,0.277625
carta,4.5,0,1,1742.6749,684.6,360.0,192.5276,505.5473,0.277625
carta,5.0,0,1,1960.2388,784.6,400.0,213.9196,561.7192,0.277625
carta,5.5,0,1,2177.8027,884.6,440.0,235.3115,617.8912,0.277625
carta,6.0,0,1,2395.3665,984.6,480.0,256.7035,674.0631,0.277625
plastica,0.5,0,2,731.7248,577.0,70.0,24.0302,60.6946,0.277625
plastica,1.0,1,1,431.7278,206.6,70.0,42.7839,112.3438,0.277625
plastica,1.5,0,1,476.2916,138.6,105.0,64.1759,168.5158,0.277625
plastica,2.0,0,1,634.8555,184.6,140.0,85.5678,224.6877,0.277625
plastica,2.5,0,1,847.4194,284.6,175.0,106.9598,280.8596,0.277625
plastica,3.0,0,1,1059.9833,384.6,210.0,128.3517,337.0315,0.277625
plastica,3.5,0,1,1272.5472,484.6,245.0,149.7437,393.2035,0.277625
plastica,4.0,0,1,1485.111,584.6,280.0,171.1356,449.3754,0.277625
plastica,4.5,0,1,1697.6749,684.6,315.0,192.5276,505.5473,0.277625
plastica,5.0,0,1,1910.2388,784.6,350.0,213.9196,561.7192,0.277625
plastica,5.5,0,1,2122.8027,884.6,385.0,235.3115,617.8912,0.277625
plastica,6.0,0,1,2335.3665,984.6,420.0,256.7035,674.0631,0.277625
vetro,0.5,1,2,303.2908,103.3,110.0,22.3782,67.6126,0.277625
vetro,1.0,0,2,492.2816,92.3,220.0,44.7564,135.2252,0.277625
vetro,1.5,0,2,792.2724,192.3,330.0,67.1346,202.8379,0.277625
vetro,2.0,0,2,1092.2633,292.3,440.0,89.5128,270.4505,0.277625
vetro,2.5,0,2,1392.2541,392.3,550.0,111.891,338.0631,0.277625
vetro,3.0,0,2,1692.2449,492.3,660.0,134.2692,405.6757,0.277625
vetro,3.5,0,2,1992.2357,592.3,770.0,156.6474,473.2883,0.277625
vetro,4.0,0,2,2292.2265,692.3,880.0,179.0256,540.901,0.277625
vetro,4.5,0,2,2592.2173,792.3,990.0,201.4037,608.5136,0.277625
vetro,5.0,0,2,2892.2081,892.3,1100.0,223.7819,676.1262,0.277625
vetro,5.5,0,2,3192.1989,992.3,1210.0,246.1601,743.7388,0.277625
vetro,6.0,0,2,3492.1898,1092.3,1320.0,268.5383,811.3514,0.277625
indifferenziata,0.5,0,1,1780.3026,1654.0,45.0,21.3325,59.9701,0.277625
indifferenziata,1.0,0,1,1406.6052,1154.0,90.0,42.6651,119.9401,0.277625
indifferenziata,1.5,0,1,1076.1078,697.2,135.0,63.9976,179.9102,0.277625
indifferenziata,2.0,1,1,918.4104,413.2,180.0,85.3301,239.8802,0.277625
indifferenziata,2.5,0,1,976.713,345.2,225.0,106.6627,299.8503,0.277625
indifferenziata,3.0,0,1,1035.0156,277.2,270.0,127.9952,359.8204,0.277625
indifferenziata,3.5,0,1,1207.3182,323.2,315.0,149.3278,419.7904,0.277625
indifferenziata,4.0,0,1,1379.6208,369.2,360.0,170.6603,479.7605,0.277625
indifferenziata,4.5,0,1,1605.9234,469.2,405.0,191.9928,539.7306,0.277625
indifferenziata,5.0,0,1,1832.226,569.2,450.0,213.3254,599.7006,0.277625
indifferenziata,5.5,0,1,2058.5286,669.2,495.0,234.6579,659.6707,0.277625
indifferenziata,6.0,0,1,2284.8312,769.2,540.0,255.9904,719.6407,0.277625
